family_group,family,task_id,m,n,k,config_id,block_size,num_warps,num_stages,shape_json,config_json,median_ms,effective_gbps,score,validation_error
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,0,1024,1,1,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 1, ""num_warps"": 1}",0.0048160001169890165,95.25581163955904,5.335811546683878,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,1,1024,1,2,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 2, ""num_warps"": 1}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,2,1024,1,3,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 3, ""num_warps"": 1}",0.004800000227987766,95.5733287938438,5.339139313570842,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,3,1024,1,4,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 4, ""num_warps"": 1}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,4,1024,2,1,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 1, ""num_warps"": 2}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,5,1024,2,2,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 2, ""num_warps"": 2}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,6,1024,2,3,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 3, ""num_warps"": 2}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,7,1024,2,4,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 4, ""num_warps"": 2}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,8,1024,4,1,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 1, ""num_warps"": 4}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
QWEN,rmsnorm,qwen05b_rmsnorm_prefill_m128_n896_seq128_ctx128,128,896,0,9,1024,4,2,"{""ctx_len"": 128, ""dtype"": ""bfloat16"", ""family"": ""rmsnorm"", ""family_group"": ""QWEN"", ""head_dim"": 64, ""hidden_size"": 896, ""intermediate_size"": 4864, ""k"": 0, ""m"": 128, ""mode"": ""prefill"", ""mode_id"": 1, ""model_id"": ""Qwen/Qwen2.5-0.5B"", ""n"": 896, ""num_attention_heads"": 14, ""num_key_value_heads"": 2, ""role"": ""rmsnorm"", ""role_id"": 1, ""seq_len"": 128}","{""block_size"": 1024, ""num_stages"": 2, ""num_warps"": 4}",0.004832000005990267,94.94039723329506,5.332494817109915,0.00186920166015625
